date,stock_value,cash,total_value,daily_return,benchmark_return,week,month
2025-03-31,940402.3156890869,-899939.2,40463.11568908696,-0.29715109047469646,0.005538521570653376,2025-03-31/2025-04-06,2025-03
2025-04-01,950293.8538131714,-899939.2,50354.65381317143,0.24445814306761982,0.0037812354559083605,2025-03-31/2025-04-06,2025-04
2025-04-02,944729.7595748901,-899939.2,44790.55957489018,-0.11049811322157932,0.006728194715792668,2025-03-31/2025-04-06,2025-04
2025-04-03,924354.0111465454,-899939.2,24414.811146545457,-0.4549116738377941,-0.04839563335990149,2025-03-31/2025-04-06,2025-04
2025-04-04,876155.806854248,-899939.2,-23783.393145751907,-1.974137911737118,-0.05974960534553109,2025-03-31/2025-04-06,2025-04
2025-04-05,876155.806854248,-899939.2,-23783.393145751907,0.0,,2025-03-31/2025-04-06,2025-04
2025-04-06,876155.806854248,-899939.2,-23783.393145751907,0.0,,2025-03-31/2025-04-06,2025-04
2025-04-07,860923.7749328613,-899939.2,-39015.425067138625,0.6404482248617835,-0.0023314724921273955,2025-04-07/2025-04-13,2025-04
2025-04-08,879338.7577896118,-899939.2,-20600.442210388137,-0.4719923677638157,-0.015700524562941354,2025-04-07/2025-04-13,2025-04
2025-04-09,836459.3261642456,-899939.2,-63479.87383575435,2.081481124892722,0.09515387644904849,2025-04-07/2025-04-13,2025-04
2025-04-10,871417.0534133911,-899939.2,-28522.14658660884,-0.5506899295293801,-0.03460757958472693,2025-04-07/2025-04-13,2025-04
2025-04-11,875483.023651123,-899939.2,-24456.176348876907,-0.14255484682351738,0.018092095201708958,2025-04-07/2025-04-13,2025-04
2025-04-12,875483.023651123,-899939.2,-24456.176348876907,0.0,,2025-04-07/2025-04-13,2025-04
2025-04-13,875483.023651123,-899939.2,-24456.176348876907,0.0,,2025-04-07/2025-04-13,2025-04
2025-04-14,893008.6226501465,-899939.2,-6930.577349853469,-0.7166123906294232,0.007944712390868913,2025-04-14/2025-04-20,2025-04
2025-04-15,906422.5579681396,-899939.2,6483.357968139695,-1.9354715546572423,-0.0017277808903947145,2025-04-14/2025-04-20,2025-04
2025-04-16,902876.9206542969,-899939.2,2937.7206542969216,-0.5468828547284645,-0.0224083715440897,2025-04-14/2025-04-20,2025-04
2025-04-17,902876.9206542969,-899939.2,2937.7206542969216,0.0,0.0013268380955802073,2025-04-14/2025-04-20,2025-04
2025-04-18,902876.9206542969,-899939.2,2937.7206542969216,0.0,,2025-04-14/2025-04-20,2025-04
2025-04-19,902876.9206542969,-899939.2,2937.7206542969216,0.0,,2025-04-14/2025-04-20,2025-04
2025-04-20,902876.9206542969,-899939.2,2937.7206542969216,0.0,,2025-04-14/2025-04-20,2025-04
2025-04-21,902876.9206542969,-899939.2,2937.7206542969216,0.0,-0.023567493023827546,2025-04-21/2025-04-27,2025-04
2025-04-22,892976.7171020508,-899939.2,-6962.482897949172,-3.3700289160459636,0.025117204723895226,2025-04-21/2025-04-27,2025-04
2025-04-23,918454.8979568481,-899939.2,18515.69795684819,-3.6593527378432866,0.01666113847096007,2025-04-21/2025-04-27,2025-04
2025-04-24,918271.7129364014,-899939.2,18332.512936401414,-0.009893497986071087,0.020259113708281262,2025-04-21/2025-04-27,2025-04
2025-04-25,927889.2862854004,-899939.2,27950.086285400437,0.5246183860534566,0.007373133469998461,2025-04-21/2025-04-27,2025-04
2025-04-26,927889.2862854004,-899939.2,27950.086285400437,0.0,,2025-04-21/2025-04-27,2025-04
2025-04-27,927889.2862854004,-899939.2,27950.086285400437,0.0,,2025-04-21/2025-04-27,2025-04
2025-04-28,925739.7588272095,-899939.2,25800.55882720952,-0.07690593282045466,0.0006407067039131409,2025-04-28/2025-05-04,2025-04
2025-04-29,925414.9056549072,-899939.2,25475.705654907273,-0.012590935509491863,0.005802410694099036,2025-04-28/2025-05-04,2025-04
2025-04-30,942812.9400482178,-899939.2,42873.74004821782,0.6829264958931272,0.00147999135976562,2025-04-28/2025-05-04,2025-04
2025-05-01,954588.0530090332,-899939.2,54648.85300903325,0.27464627409627873,0.006299102138585644,2025-04-28/2025-05-04,2025-05
2025-05-02,972890.4723205566,-899939.2,72951.27232055669,0.33490948672789367,0.01472657412963474,2025-04-28/2025-05-04,2025-05
2025-05-03,972890.4723205566,-899939.2,72951.27232055669,0.0,,2025-04-28/2025-05-04,2025-05
2025-05-04,972890.4723205566,-899939.2,72951.27232055669,0.0,,2025-04-28/2025-05-04,2025-05
